Time,R (Referência),VM,VP,VT
1.27,3.75,3.75,1.74,2.63
1.28,3.77,3.77,2.04,2.66
1.29,3.8,3.8,2.33,2.7
1.3,3.82,3.82,2.64,2.73
1.31,3.84,3.84,2.94,2.77
1.32,3.86,3.86,3.25,2.8
1.33,3.88,3.88,3.56,2.83
1.34,3.9,3.9,3.88,2.86
1.35,3.92,3.92,4.2,2.89
1.36,3.93,3.93,4.52,2.93
1.37,3.95,3.95,4.85,2.96
1.38,3.96,3.96,-4.82,2.99
1.39,3.97,3.97,-4.49,3.01
1.4,3.98,3.98,-4.15,3.04
1.41,3.99,3.99,-3.81,3.07
1.42,3.99,3.99,-3.47,3.1
1.43,4,4,-3.12,3.12
1.44,4,4,-2.77,3.15
1.45,4,4,-2.42,3.17
1.46,4,4,-2.07,3.19
1.47,3.99,3.99,-1.71,3.22
1.48,3.99,3.99,-1.35,3.24
1.49,3.98,3.98,-0.99,3.26
1.5,3.97,3.97,-0.63,3.28
1.51,3.96,3.96,-0.27,3.3
1.52,3.95,3.95,0.1,3.31
1.53,3.93,3.93,0.47,3.33
1.54,3.91,3.91,0.84,3.34
1.55,3.89,3.89,1.21,3.36
1.56,3.87,3.87,1.59,3.37
1.57,3.84,3.84,1.96,3.38
1.58,3.82,3.82,2.34,3.39
1.59,3.79,3.79,2.71,3.4
1.6,3.75,3.75,3.09,3.4
1.61,3.72,3.72,3.47,3.41
1.62,3.68,3.68,3.85,3.41
1.63,3.64,3.64,4.23,3.42
1.64,3.6,3.6,4.61,3.42
1.65,3.56,3.56,4.99,3.42
1.66,3.51,3.51,-4.63,3.41
1.67,3.46,3.46,-4.25,3.41
1.68,3.41,3.41,-3.87,3.41
1.69,3.36,3.36,-3.5,3.4
1.7,3.3,3.3,-3.12,3.39
1.71,3.24,3.24,-2.74,3.38
1.72,3.18,3.18,-2.37,3.37
1.73,3.11,3.11,-1.99,3.35
1.74,3.05,3.05,-1.62,3.34
1.75,2.98,2.98,-1.25,3.32
1.76,2.91,2.91,-0.88,3.3
1.77,2.83,2.83,-0.52,3.28
1.78,2.76,2.76,-0.15,3.26
1.79,2.68,2.68,0.21,3.23
1.8,2.6,2.6,0.56,3.21
1.81,2.51,2.51,0.92,3.18
1.82,2.43,2.43,1.27,3.15
1.83,2.34,2.34,1.62,3.12
1.84,2.25,2.25,1.96,3.08
1.85,2.16,2.16,2.3,3.05
1.86,2.06,2.06,2.64,3.01
1.87,1.97,1.97,2.97,2.97
1.88,1.87,1.87,3.3,2.93
1.89,1.77,1.77,3.62,2.88
1.9,1.66,1.66,3.94,2.84
1.91,1.56,1.56,4.25,2.79
1.92,1.45,1.45,4.56,2.74
1.93,1.34,1.34,4.86,2.69
1.94,1.23,1.23,-4.84,2.63
1.95,1.12,1.12,-4.55,2.58
1.96,1.01,1.01,-4.27,2.52
1.97,0.89,0.89,-3.99,2.46
1.98,0.78,0.78,-3.72,2.4
1.99,0.66,0.66,-3.46,2.34
2,0.54,0.54,-3.2,2.27
2.01,0.42,0.42,-2.96,2.21
2.02,0.3,0.3,-2.71,2.14
2.03,0.18,0.18,-2.48,2.07
2.04,0.06,0.06,-2.25,2
2.05,-0.07,-0.07,-2.04,1.93
2.06,-0.19,-0.19,-1.83,1.85
2.07,-0.31,-0.31,-1.63,1.77
2.08,-0.44,-0.44,-1.43,1.7
2.09,-0.56,-0.56,-1.25,1.62
2.1,-0.69,-0.69,-1.07,1.54
2.11,-0.81,-0.81,-0.91,1.45
2.12,-0.94,-0.94,-0.75,1.37
2.13,-1.06,-1.06,-0.6,1.29
2.14,-1.18,-1.18,-0.46,1.2
2.15,-1.3,-1.3,-0.34,1.11
2.16,-1.43,-1.43,-0.22,1.03
2.17,-1.55,-1.55,-0.11,0.94
2.18,-1.67,-1.67,-0.01,0.85
2.19,-1.79,-1.79,0.08,0.76
2.2,-1.9,-1.9,0.16,0.67
2.21,-2.02,-2.02,0.23,0.57
2.22,-2.13,-2.13,0.29,0.48
2.23,-2.24,-2.24,0.33,0.39
2.24,-2.35,-2.35,0.37,0.29
2.25,-2.46,-2.46,0.4,0.2
2.26,-2.57,-2.57,0.42,0.11
2.27,-2.67,-2.67,0.42,0.01
2.28,-2.77,-2.77,0.42,-0.08
2.29,-2.87,-2.87,0.4,-0.18
2.3,-2.96,-2.96,0.38,-0.27
2.31,-3.05,-3.05,0.34,-0.37
2.32,-3.14,-3.14,0.3,-0.46
2.33,-3.23,-3.23,0.24,-0.55
2.34,-3.31,-3.31,0.18,-0.64
2.35,-3.38,-3.38,0.1,-0.74
2.36,-3.46,-3.46,0.01,-0.83
2.37,-3.53,-3.53,-0.08,-0.92
2.38,-3.59,-3.59,-0.19,-1.01
2.39,-3.65,-3.65,-0.31,-1.1
2.4,-3.71,-3.71,-0.44,-1.18
2.41,-3.76,-3.76,-0.57,-1.27
2.42,-3.81,-3.81,-0.72,-1.35
2.43,-3.85,-3.85,-0.87,-1.44
2.44,-3.89,-3.89,-1.04,-1.52
2.45,-3.92,-3.92,-1.21,-1.6
2.46,-3.95,-3.95,-1.39,-1.67
2.47,-3.97,-3.97,-1.58,-1.75
2.48,-3.98,-3.98,-1.78,-1.82
2.49,-3.99,-3.99,-1.98,-1.89
2.5,-4,-4,-2.2,-1.96
2.51,-4,-4,-2.42,-2.03
2.52,-3.99,-3.99,-2.65,-2.09
2.53,-3.98,-3.98,-2.89,-2.15
2.54,-3.96,-3.96,-3.13,-2.21
2.55,-3.94,-3.94,-3.38,-2.26
2.56,-3.91,-3.91,-3.63,-2.32
2.57,-3.87,-3.87,-3.89,-2.37
2.58,-3.83,-3.83,-4.16,-2.41
2.59,-3.79,-3.79,-4.43,-2.46
2.6,-3.73,-3.73,-4.7,-2.5
2.61,-3.67,-3.67,-4.98,-2.53
2.62,-3.61,-3.61,4.74,-2.56
2.63,-3.54,-3.54,4.45,-2.59
2.64,-3.46,-3.46,4.16,-2.62
2.65,-3.38,-3.38,3.87,-2.64
2.66,-3.29,-3.29,3.57,-2.66
2.67,-3.2,-3.2,3.28,-2.67
2.68,-3.1,-3.1,2.98,-2.68
2.69,-2.99,-2.99,2.68,-2.69
2.7,-2.88,-2.88,2.38,-2.69
2.71,-2.77,-2.77,2.08,-2.69
2.72,-2.65,-2.65,1.78,-2.68
2.73,-2.52,-2.52,1.49,-2.67
2.74,-2.39,-2.39,1.19,-2.66
2.75,-2.26,-2.26,0.9,-2.64
2.76,-2.12,-2.12,0.6,-2.62
2.77,-1.98,-1.98,0.31,-2.6
2.78,-1.83,-1.83,0.03,-2.57
2.79,-1.68,-1.68,-0.26,-2.53
2.8,-1.53,-1.53,-0.54,-2.49
2.81,-1.37,-1.37,-0.81,-2.45
2.82,-1.21,-1.21,-1.08,-2.41
2.83,-1.05,-1.05,-1.34,-2.36
2.84,-0.88,-0.88,-1.6,-2.3
2.85,-0.71,-0.71,-1.86,-2.24
2.86,-0.54,-0.54,-2.1,-2.18
2.87,-0.37,-0.37,-2.34,-2.12
2.88,-0.2,-0.2,-2.57,-2.05
2.89,-0.03,-0.03,-2.8,-1.98
2.9,0.15,0.15,-3.01,-1.9
2.91,0.32,0.32,-3.22,-1.83
2.92,0.5,0.5,-3.42,-1.74
2.93,0.67,0.67,-3.61,-1.66
2.94,0.84,0.84,-3.79,-1.57
2.95,1.02,1.02,-3.96,-1.48
2.96,1.19,1.19,-4.11,-1.39
2.97,1.36,1.36,-4.26,-1.29
2.98,1.52,1.52,-4.4,-1.2
2.99,1.69,1.69,-4.53,-1.1
3,1.85,1.85,-4.65,-0.99
3.01,2.01,2.01,-4.75,-0.89
3.02,2.16,2.16,-4.84,-0.79
3.03,2.31,2.31,-4.92,-0.68
3.04,2.46,2.46,-4.99,-0.57
3.05,2.6,2.6,4.95,-0.46
3.06,2.74,2.74,4.9,-0.35
3.07,2.87,2.87,4.87,-0.24
3.08,2.99,2.99,4.85,-0.13
3.09,3.11,3.11,4.84,-0.02
3.1,3.23,3.23,4.84,0.09
3.11,3.33,3.33,4.86,0.2
3.12,3.43,3.43,4.89,0.31
3.13,3.53,3.53,4.93,0.41
3.14,3.61,3.61,4.98,0.52
3.15,3.69,3.69,-4.96,0.63
3.16,3.76,3.76,-4.88,0.73
3.17,3.82,3.82,-4.79,0.84
3.18,3.87,3.87,-4.7,0.94
3.19,3.91,3.91,-4.59,1.04
3.2,3.95,3.95,-4.46,1.14
3.21,3.98,3.98,-4.33,1.23
3.22,3.99,3.99,-4.19,1.32
3.23,4,4,-4.04,1.41
3.24,4,4,-3.88,1.5
3.25,3.99,3.99,-3.71,1.58
3.26,3.96,3.96,-3.53,1.66
3.27,3.93,3.93,-3.34,1.73
3.28,3.89,3.89,-3.14,1.8
3.29,3.84,3.84,-2.94,1.87
3.3,3.78,3.78,-2.73,1.93
3.31,3.72,3.72,-2.51,1.99
3.32,3.64,3.64,-2.29,2.04
3.33,3.55,3.55,-2.06,2.09
3.34,3.45,3.45,-1.82,2.13
3.35,3.35,3.35,-1.58,2.17
3.36,3.23,3.23,-1.34,2.2
3.37,3.11,3.11,-1.09,2.23
3.38,2.98,2.98,-0.84,2.25
3.39,2.84,2.84,-0.59,2.27
3.4,2.69,2.69,-0.34,2.28
3.41,2.53,2.53,-0.09,2.28
3.42,2.37,2.37,0.17,2.28
3.43,2.2,2.2,0.42,2.28
3.44,2.03,2.03,0.67,2.27
3.45,1.85,1.85,0.92,2.25
3.46,1.66,1.66,1.17,2.23
3.47,1.47,1.47,1.42,2.2
3.48,1.27,1.27,1.66,2.16
3.49,1.07,1.07,1.9,2.12
3.5,0.87,0.87,2.13,2.08
3.51,0.66,0.66,2.36,2.02
3.52,0.45,0.45,2.58,1.97
3.53,0.24,0.24,2.8,1.91
3.54,0.03,0.03,3,1.84
3.55,-0.18,-0.18,3.21,1.77
3.56,-0.4,-0.4,3.4,1.69
3.57,-0.61,-0.61,3.58,1.61
3.58,-0.82,-0.82,3.76,1.53
3.59,-1.03,-1.03,3.92,1.44
3.6,-1.24,-1.24,4.07,1.34
3.61,-1.44,-1.44,4.22,1.25
3.62,-1.64,-1.64,4.35,1.15
3.63,-1.84,-1.84,4.47,1.04
3.64,-2.03,-2.03,4.58,0.94
3.65,-2.22,-2.22,4.68,0.83
3.66,-2.4,-2.4,4.77,0.72
3.67,-2.57,-2.57,4.84,0.61
3.68,-2.73,-2.73,4.9,0.49
3.69,-2.89,-2.89,4.95,0.38
3.7,-3.04,-3.04,4.99,0.26
3.71,-3.18,-3.18,-4.99,0.14
3.72,-3.31,-3.31,-4.98,0.03
3.73,-3.43,-3.43,-4.99,-0.09
3.74,-3.54,-3.54,5,-0.21
3.75,-3.64,-3.64,4.97,-0.32
3.76,-3.73,-3.73,4.93,-0.44
3.77,-3.8,-3.8,4.87,-0.55
3.78,-3.87,-3.87,4.8,-0.66
3.79,-3.92,-3.92,4.72,-0.77
3.8,-3.96,-3.96,4.63,-0.88
3.81,-3.98,-3.98,4.53,-0.98
3.82,-4,-4,4.41,-1.09
3.83,-4,-4,4.29,-1.18
3.84,-3.99,-3.99,4.15,-1.28
3.85,-3.96,-3.96,4,-1.36
3.86,-3.92,-3.92,3.85,-1.45
3.87,-3.87,-3.87,3.68,-1.53
3.88,-3.8,-3.8,3.51,-1.6
3.89,-3.72,-3.72,3.32,-1.67
3.9,-3.63,-3.63,3.14,-1.74
3.91,-3.52,-3.52,2.94,-1.79
3.92,-3.41,-3.41,2.74,-1.85
3.93,-3.28,-3.28,2.53,-1.89
3.94,-3.13,-3.13,2.32,-1.93
3.95,-2.98,-2.98,2.1,-1.96
3.96,-2.82,-2.82,1.88,-1.99
3.97,-2.64,-2.64,1.66,-2.01
3.98,-2.46,-2.46,1.43,-2.02
3.99,-2.27,-2.27,1.21,-2.03
4,-2.06,-2.06,0.98,-2.02
4.01,-1.85,-1.85,0.76,-2.02
4.02,-1.64,-1.64,0.54,-2
4.03,-1.41,-1.41,0.32,-1.98
4.04,-1.18,-1.18,0.1,-1.95
4.05,-0.95,-0.95,-0.12,-1.91
4.06,-0.71,-0.71,-0.33,-1.87
4.07,-0.47,-0.47,-0.53,-1.82
4.08,-0.23,-0.23,-0.73,-1.76
4.09,0.02,0.02,-0.92,-1.7
4.1,0.27,0.27,-1.11,-1.63
4.11,0.51,0.51,-1.28,-1.55
4.12,0.76,0.76,-1.45,-1.47
4.13,1,1,-1.61,-1.39
4.14,1.24,1.24,-1.76,-1.29
4.15,1.47,1.47,-1.9,-1.2
4.16,1.7,1.7,-2.03,-1.1
4.17,1.92,1.92,-2.14,-0.99
4.18,2.14,2.14,-2.25,-0.89
4.19,2.35,2.35,-2.34,-0.78
4.2,2.55,2.55,-2.42,-0.66
4.21,2.74,2.74,-2.49,-0.55
4.22,2.92,2.92,-2.54,-0.43
4.23,3.08,3.08,-2.58,-0.31
4.24,3.24,3.24,-2.61,-0.19
4.25,3.38,3.38,-2.62,-0.07
4.26,3.51,3.51,-2.62,0.06
4.27,3.63,3.63,-2.61,0.18
4.28,3.73,3.73,-2.58,0.3
4.29,3.81,3.81,-2.54,0.42
4.3,3.88,3.88,-2.49,0.53
4.31,3.94,3.94,-2.42,0.65
4.32,3.97,3.97,-2.35,0.76
4.33,4,4,-2.26,0.87
4.34,4,4,-2.15,0.97
4.35,3.99,3.99,-2.04,1.07
4.36,3.96,3.96,-1.91,1.17
4.37,3.91,3.91,-1.78,1.26
4.38,3.84,3.84,-1.63,1.35
4.39,3.76,3.76,-1.48,1.43
4.4,3.67,3.67,-1.32,1.5
4.41,3.55,3.55,-1.15,1.57
4.42,3.42,3.42,-0.97,1.63
4.43,3.28,3.28,-0.79,1.68
4.44,3.12,3.12,-0.6,1.73
4.45,2.94,2.94,-0.4,1.77
4.46,2.75,2.75,-0.2,1.8
4.47,2.55,2.55,0,1.82
4.48,2.34,2.34,0.2,1.83
4.49,2.12,2.12,0.4,1.84
4.5,1.88,1.88,0.61,1.84
4.51,1.64,1.64,0.81,1.83
4.52,1.39,1.39,1.01,1.81
4.53,1.13,1.13,1.21,1.79
4.54,0.87,0.87,1.41,1.75
4.55,0.6,0.6,1.6,1.71
4.56,0.33,0.33,1.79,1.66
4.57,0.05,0.05,1.97,1.6
4.58,-0.22,-0.22,2.15,1.54
4.59,-0.5,-0.5,2.31,1.47
4.6,-0.77,-0.77,2.47,1.39
4.61,-1.04,-1.04,2.62,1.31
4.62,-1.31,-1.31,2.76,1.21
4.63,-1.56,-1.56,2.89,1.12
4.64,-1.82,-1.82,3.01,1.02
4.65,-2.06,-2.06,3.12,0.91
4.66,-2.3,-2.3,3.21,0.8
4.67,-2.52,-2.52,3.3,0.69
4.68,-2.73,-2.73,3.37,0.57
4.69,-2.93,-2.93,3.42,0.45
4.7,-3.12,-3.12,3.47,0.33
4.71,-3.28,-3.28,3.5,0.21
4.72,-3.44,-3.44,3.51,0.08
4.73,-3.57,-3.57,3.51,-0.04
4.74,-3.69,-3.69,3.5,-0.17
4.75,-3.79,-3.79,3.48,-0.29
4.76,-3.87,-3.87,3.44,-0.41
4.77,-3.94,-3.94,3.39,-0.53
4.78,-3.98,-3.98,3.32,-0.65
4.79,-4,-4,3.24,-0.76
4.8,-4,-4,3.15,-0.87
4.81,-3.98,-3.98,3.05,-0.97
4.82,-3.94,-3.94,2.94,-1.07
4.83,-3.87,-3.87,2.81,-1.16
4.84,-3.79,-3.79,2.68,-1.25
4.85,-3.69,-3.69,2.53,-1.33
4.86,-3.56,-3.56,2.38,-1.41
4.87,-3.42,-3.42,2.22,-1.47
4.88,-3.26,-3.26,2.06,-1.53
4.89,-3.08,-3.08,1.88,-1.58
4.9,-2.89,-2.89,1.71,-1.62
4.91,-2.67,-2.67,1.52,-1.66
4.92,-2.45,-2.45,1.34,-1.68
4.93,-2.21,-2.21,1.15,-1.69
4.94,-1.95,-1.95,0.96,-1.7
4.95,-1.69,-1.69,0.77,-1.7
4.96,-1.41,-1.41,0.59,-1.69
4.97,-1.13,-1.13,0.4,-1.66
4.98,-0.84,-0.84,0.22,-1.63
4.99,-0.55,-0.55,0.04,-1.59
5,-0.25,-0.25,-0.14,-1.55
5.01,0.05,0.05,-0.31,-1.49
5.02,0.35,0.35,-0.47,-1.42
5.03,0.65,0.65,-0.62,-1.35
5.04,0.95,0.95,-0.77,-1.27
5.05,1.24,1.24,-0.9,-1.18
5.06,1.53,1.53,-1.03,-1.09
5.07,1.8,1.8,-1.15,-0.99
5.08,2.07,2.07,-1.25,-0.89
5.09,2.33,2.33,-1.34,-0.78
5.1,2.57,2.57,-1.42,-0.66
5.11,2.8,2.8,-1.49,-0.54
5.12,3.01,3.01,-1.54,-0.42
5.13,3.2,3.2,-1.58,-0.3
5.14,3.38,3.38,-1.61,-0.17
5.15,3.53,3.53,-1.62,-0.05
5.16,3.67,3.67,-1.62,0.08
5.17,3.78,3.78,-1.6,0.2
5.18,3.87,3.87,-1.57,0.33
5.19,3.94,3.94,-1.53,0.45
5.2,3.98,3.98,-1.47,0.57
5.21,4,4,-1.4,0.69
5.22,3.99,3.99,-1.32,0.8
5.23,3.96,3.96,-1.23,0.9
5.24,3.91,3.91,-1.12,1
5.25,3.83,3.83,-1.01,1.1
5.26,3.73,3.73,-0.88,1.19
5.27,3.6,3.6,-0.74,1.27
5.28,3.45,3.45,-0.6,1.34
5.29,3.28,3.28,-0.45,1.4
5.3,3.09,3.09,-0.29,1.46
5.31,2.87,2.87,-0.12,1.5
5.32,2.64,2.64,0.05,1.54
5.33,2.39,2.39,0.22,1.57
5.34,2.13,2.13,0.39,1.58
5.35,1.85,1.85,0.57,1.59
5.36,1.56,1.56,0.75,1.59
5.37,1.26,1.26,0.92,1.57
5.38,0.95,0.95,1.1,1.55
5.39,0.63,0.63,1.27,1.51
5.4,0.31,0.31,1.43,1.47
5.41,-0.02,-0.02,1.59,1.42
5.42,-0.34,-0.34,1.75,1.36
5.43,-0.66,-0.66,1.89,1.29
5.44,-0.98,-0.98,2.03,1.21
5.45,-1.3,-1.3,2.16,1.12
5.46,-1.6,-1.6,2.28,1.03
5.47,-1.9,-1.9,2.39,0.93
5.48,-2.18,-2.18,2.49,0.82
5.49,-2.45,-2.45,2.57,0.71
5.5,-2.7,-2.7,2.64,0.59
5.51,-2.94,-2.94,2.7,0.47
5.52,-3.15,-3.15,2.75,0.35
5.53,-3.35,-3.35,2.78,0.22
5.54,-3.52,-3.52,2.79,0.09
5.55,-3.66,-3.66,2.8,-0.03
5.56,-3.78,-3.78,2.79,-0.16
5.57,-3.88,-3.88,2.76,-0.29
5.58,-3.95,-3.95,2.72,-0.41
5.59,-3.99,-3.99,2.67,-0.53
5.6,-4,-4,2.6,-0.65
5.61,-3.98,-3.98,2.53,-0.76
5.62,-3.94,-3.94,2.44,-0.87
5.63,-3.87,-3.87,2.33,-0.97
5.64,-3.77,-3.77,2.22,-1.06
5.65,-3.64,-3.64,2.1,-1.15
5.66,-3.49,-3.49,1.97,-1.22
5.67,-3.31,-3.31,1.83,-1.29
5.68,-3.1,-3.1,1.68,-1.35
5.69,-2.88,-2.88,1.53,-1.4
5.7,-2.63,-2.63,1.37,-1.44
5.71,-2.36,-2.36,1.21,-1.47
5.72,-2.07,-2.07,1.04,-1.49
5.73,-1.77,-1.77,0.88,-1.5
5.74,-1.46,-1.46,0.71,-1.49
5.75,-1.13,-1.13,0.55,-1.48
5.76,-0.79,-0.79,0.38,-1.45
5.77,-0.45,-0.45,0.22,-1.42
5.78,-0.11,-0.11,0.07,-1.37
5.79,0.24,0.24,-0.08,-1.31
5.8,0.59,0.59,-0.22,-1.25
5.81,0.93,0.93,-0.36,-1.17
5.82,1.27,1.27,-0.48,-1.09
5.83,1.59,1.59,-0.6,-0.99
5.84,1.91,1.91,-0.7,-0.89
5.85,2.21,2.21,-0.8,-0.79
5.86,2.5,2.5,-0.88,-0.67
5.87,2.76,2.76,-0.95,-0.56
5.88,3.01,3.01,-1,-0.44
5.89,3.23,3.23,-1.04,-0.31
5.9,3.42,3.42,-1.07,-0.18
5.91,3.59,3.59,-1.08,-0.05
5.92,3.73,3.73,-1.08,0.07
5.93,3.85,3.85,-1.07,0.2
5.94,3.93,3.93,-1.04,0.33
5.95,3.98,3.98,-0.99,0.45
5.96,4,4,-0.94,0.57
5.97,3.99,3.99,-0.87,0.69
5.98,3.94,3.94,-0.78,0.8
5.99,3.87,3.87,-0.69,0.9
6,3.76,3.76,-0.58,0.99
6.01,3.62,3.62,-0.47,1.08
6.02,3.45,3.45,-0.34,1.16
6.03,3.25,3.25,-0.21,1.23
6.04,3.03,3.03,-0.07,1.29
6.05,2.78,2.78,0.07,1.34
6.06,2.5,2.5,0.22,1.37
6.07,2.21,2.21,0.38,1.4
6.08,1.9,1.9,0.54,1.42
6.09,1.57,1.57,0.69,1.42
6.1,1.22,1.22,0.85,1.41
6.11,0.87,0.87,1.01,1.39
6.12,0.51,0.51,1.16,1.36
6.13,0.14,0.14,1.31,1.31
6.14,-0.23,-0.23,1.45,1.26
6.15,-0.6,-0.6,1.59,1.19
6.16,-0.96,-0.96,1.71,1.12
6.17,-1.31,-1.31,1.83,1.04
6.18,-1.66,-1.66,1.94,0.94
6.19,-1.99,-1.99,2.04,0.84
6.2,-2.3,-2.3,2.13,0.73
6.21,-2.6,-2.6,2.21,0.62
6.22,-2.87,-2.87,2.27,0.5
6.23,-3.12,-3.12,2.32,0.38
6.24,-3.34,-3.34,2.35,0.25
6.25,-3.53,-3.53,2.37,0.12
6.26,-3.69,-3.69,2.38,-0.01
6.27,-3.82,-3.82,2.37,-0.14
6.28,-3.91,-3.91,2.35,-0.27
6.29,-3.97,-3.97,2.31,-0.39
6.3,-4,-4,2.26,-0.51
6.31,-3.99,-3.99,2.2,-0.63
6.32,-3.94,-3.94,2.12,-0.74
6.33,-3.86,-3.86,2.03,-0.85
6.34,-3.74,-3.74,1.93,-0.94
6.35,-3.59,-3.59,1.82,-1.03
6.36,-3.4,-3.4,1.7,-1.11
6.37,-3.19,-3.19,1.58,-1.18
6.38,-2.94,-2.94,1.44,-1.24
6.39,-2.67,-2.67,1.3,-1.28
6.4,-2.37,-2.37,1.16,-1.32
6.41,-2.05,-2.05,1.01,-1.34
6.42,-1.71,-1.71,0.86,-1.35
6.43,-1.35,-1.35,0.71,-1.35
6.44,-0.98,-0.98,0.56,-1.34
6.45,-0.6,-0.6,0.42,-1.31
6.46,-0.22,-0.22,0.27,-1.27
6.47,0.17,0.17,0.13,-1.22
6.48,0.56,0.56,0,-1.16
6.49,0.94,0.94,-0.12,-1.08
6.5,1.32,1.32,-0.24,-1
6.51,1.68,1.68,-0.34,-0.91
6.52,2.02,2.02,-0.44,-0.81
6.53,2.35,2.35,-0.52,-0.7
6.54,2.66,2.66,-0.59,-0.58
6.55,2.94,2.94,-0.65,-0.46
6.56,3.19,3.19,-0.7,-0.34
